,EngDispl,NumCyl,Transmission,FE,AirAspirationMethod,NumGears,TransLockup,TransCreeperGear,DriveDesc,IntakeValvePerCyl,ExhaustValvesPerCyl,CarlineClassDesc,VarValveTiming,VarValveLift
2199,4.7,8,AM7,28.793,NaturallyAspirated,7,0.0,0.0,TwoWheelDriveRear,2,2,2Seaters,1.0,0.0
2215,6.5,12,S7,22.6242,NaturallyAspirated,7,1.0,0.0,AllWheelDrive,2,2,2Seaters,1.0,0.0
2220,4.8,10,S6,21.9632,NaturallyAspirated,6,1.0,0.0,TwoWheelDriveRear,2,2,2Seaters,1.0,0.0
2228,6.2,8,AM7,26.7967,NaturallyAspirated,7,1.0,0.0,TwoWheelDriveRear,2,2,2Seaters,1.0,0.0
2229,1.6,4,S6,50.9588,NaturallyAspirated,6,1.0,0.0,TwoWheelDriveFront,2,2,2Seaters,1.0,1.0
2230,1.6,4,M6,52.5455,NaturallyAspirated,6,0.0,0.0,TwoWheelDriveFront,2,2,2Seaters,1.0,1.0
2231,1.6,4,S6,49.6413,NaturallyAspirated,6,1.0,0.0,TwoWheelDriveFront,2,2,2Seaters,1.0,1.0
2232,1.6,4,M6,49.1607,NaturallyAspirated,6,0.0,0.0,TwoWheelDriveFront,2,2,2Seaters,1.0,1.0
2233,1.6,4,S6,47.8871,Turbocharged,6,1.0,0.0,TwoWheelDriveFront,2,2,2Seaters,1.0,1.0
2234,1.6,4,M6,50.0888,Turbocharged,6,0.0,0.0,TwoWheelDriveFront,2,2,2Seaters,1.0,1.0
2235,1.6,4,S6,47.8871,Turbocharged,6,1.0,0.0,TwoWheelDriveFront,2,2,2Seaters,1.0,1.0
2236,1.6,4,M6,50.0888,Turbocharged,6,0.0,0.0,TwoWheelDriveFront,2,2,2Seaters,1.0,1.0
2237,1.6,4,M6,46.4353,Turbocharged,6,0.0,0.0,TwoWheelDriveFront,2,2,2Seaters,1.0,0.0
2238,1.6,4,M6,46.4353,Turbocharged,6,0.0,0.0,TwoWheelDriveFront,2,2,2Seaters,1.0,0.0
2248,3.4,6,A7,41.347,NaturallyAspirated,7,1.0,0.0,TwoWheelDriveRear,2,2,2Seaters,1.0,1.0
2249,3.4,6,M6,37.055,NaturallyAspirated,6,0.0,0.0,TwoWheelDriveRear,2,2,2Seaters,1.0,1.0
2256,5.9,12,S6,25.3442,NaturallyAspirated,6,1.0,0.0,TwoWheelDriveRear,2,2,MinicompactCars,0.0,0.0
2257,1.4,4,A6,48.3,NaturallyAspirated,6,1.0,0.0,TwoWheelDriveFront,2,2,MinicompactCars,1.0,1.0
2258,1.4,4,M5,53.676,NaturallyAspirated,5,0.0,0.0,TwoWheelDriveFront,2,2,MinicompactCars,1.0,1.0
2259,1.4,4,A6,46.0,NaturallyAspirated,6,1.0,0.0,TwoWheelDriveFront,2,2,MinicompactCars,1.0,1.0
2266,1.6,4,S6,49.6413,NaturallyAspirated,6,1.0,0.0,TwoWheelDriveFront,2,2,MinicompactCars,1.0,1.0
2267,1.6,4,M6,49.1607,NaturallyAspirated,6,0.0,0.0,TwoWheelDriveFront,2,2,MinicompactCars,1.0,1.0
2276,3.8,6,A7,35.9964,NaturallyAspirated,7,1.0,0.0,FourWheelDrive,2,2,MinicompactCars,1.0,1.0
2277,3.8,6,M6,34.7504,NaturallyAspirated,6,0.0,0.0,FourWheelDrive,2,2,MinicompactCars,1.0,1.0
2278,3.8,6,A7,37.0769,NaturallyAspirated,7,1.0,0.0,FourWheelDrive,2,2,MinicompactCars,1.0,1.0
2279,3.8,6,M6,34.3243,NaturallyAspirated,6,0.0,0.0,FourWheelDrive,2,2,MinicompactCars,1.0,1.0
2310,1.3,4,AV,58.7,NaturallyAspirated,1,1.0,0.0,TwoWheelDriveFront,2,2,MinicompactCars,1.0,0.0
2320,2.5,5,M6,34.3,Turbocharged,6,0.0,0.0,AllWheelDrive,2,2,SubcompactCars,1.0,0.0
2321,6.0,12,S6,24.7,Turbocharged,6,1.0,0.0,AllWheelDrive,2,2,SubcompactCars,1.0,0.0
2334,1.8,4,S6,50.0,NaturallyAspirated,6,1.0,0.0,TwoWheelDriveFront,2,2,SubcompactCars,1.0,0.0
2335,1.8,4,M5,49.0,NaturallyAspirated,5,0.0,0.0,TwoWheelDriveFront,2,2,SubcompactCars,1.0,0.0
2356,3.5,6,A7,39.4699,NaturallyAspirated,7,1.0,0.0,TwoWheelDriveRear,2,2,SubcompactCars,1.0,0.0
2357,6.2,8,A7,26.6604,NaturallyAspirated,7,1.0,0.0,TwoWheelDriveRear,2,2,SubcompactCars,1.0,0.0
2359,3.5,6,A7,39.4515,NaturallyAspirated,7,1.0,0.0,TwoWheelDriveRear,2,2,SubcompactCars,1.0,0.0
2360,1.6,4,S6,49.6413,NaturallyAspirated,6,1.0,0.0,TwoWheelDriveFront,2,2,SubcompactCars,1.0,1.0
2361,1.6,4,M6,49.1607,NaturallyAspirated,6,0.0,0.0,TwoWheelDriveFront,2,2,SubcompactCars,1.0,1.0
2374,5.0,8,M6,30.62,Supercharged,6,0.0,0.0,TwoWheelDriveRear,2,2,SubcompactCars,1.0,0.0
2375,2.0,4,S6,41.7701,Turbocharged,6,1.0,0.0,TwoWheelDriveFront,2,2,SubcompactCars,1.0,0.0
2376,2.5,5,S6,39.0128,NaturallyAspirated,6,1.0,0.0,TwoWheelDriveFront,2,2,SubcompactCars,1.0,0.0
2388,4.4,8,S8,33.9016,Turbocharged,8,1.0,0.0,TwoWheelDriveRear,2,2,CompactCars,1.0,0.0
2389,4.4,8,M6,31.1757,Turbocharged,6,0.0,0.0,TwoWheelDriveRear,2,2,CompactCars,1.0,0.0
2390,4.4,8,S8,33.9016,Turbocharged,8,1.0,0.0,TwoWheelDriveRear,2,2,CompactCars,1.0,0.0
2391,4.4,8,M6,31.1757,Turbocharged,6,0.0,0.0,TwoWheelDriveRear,2,2,CompactCars,1.0,0.0
2397,1.8,4,S6,50.0,NaturallyAspirated,6,1.0,0.0,TwoWheelDriveFront,2,2,CompactCars,1.0,0.0
2398,1.8,4,M5,49.0,NaturallyAspirated,5,0.0,0.0,TwoWheelDriveFront,2,2,CompactCars,1.0,0.0
2405,2.0,4,A6,57.6,NaturallyAspirated,6,1.0,0.0,TwoWheelDriveFront,2,2,CompactCars,1.0,0.0
2413,1.8,4,A5,58.0544,NaturallyAspirated,5,1.0,0.0,TwoWheelDriveFront,2,2,CompactCars,1.0,1.0
2417,1.6,4,AM6,55.9478,NaturallyAspirated,6,1.0,0.0,TwoWheelDriveFront,2,2,CompactCars,1.0,0.0
2418,1.6,4,M6,56.5,NaturallyAspirated,6,0.0,0.0,TwoWheelDriveFront,2,2,CompactCars,1.0,0.0
2432,1.8,4,A7,43.7543,Turbocharged,7,1.0,0.0,TwoWheelDriveRear,2,2,CompactCars,1.0,0.0
2442,4.7,8,A7,33.6744,Turbocharged,7,1.0,0.0,FourWheelDrive,2,2,CompactCars,1.0,0.0
2477,2.0,4,AV,41.5661,NaturallyAspirated,1,1.0,0.0,TwoWheelDriveFront,2,2,CompactCars,1.0,0.0
2478,2.0,4,M6,44.708,NaturallyAspirated,6,0.0,0.0,TwoWheelDriveFront,2,2,CompactCars,1.0,0.0
2501,2.5,5,S6,41.8,Turbocharged,6,1.0,0.0,TwoWheelDriveFront,2,2,CompactCars,1.0,0.0
2505,3.0,6,S8,37.5,Supercharged,8,1.0,0.0,AllWheelDrive,2,2,MidsizeCars,1.0,0.0
2506,3.0,6,S8,37.4,Supercharged,8,1.0,0.0,AllWheelDrive,2,2,MidsizeCars,1.0,0.0
2560,3.5,6,S7,45.3,NaturallyAspirated,7,1.0,0.0,TwoWheelDriveRear,2,2,MidsizeCars,1.0,0.0
2562,3.7,6,S7,33.4,NaturallyAspirated,7,1.0,0.0,AllWheelDrive,2,2,MidsizeCars,1.0,1.0
2564,5.6,8,S7,32.4,NaturallyAspirated,7,1.0,0.0,AllWheelDrive,2,2,MidsizeCars,1.0,1.0
2600,2.0,4,S6,56.9,Turbocharged,6,0.0,0.0,TwoWheelDriveFront,2,2,MidsizeCars,0.0,0.0
2601,2.0,4,M6,62.8,Turbocharged,6,0.0,0.0,TwoWheelDriveFront,2,2,MidsizeCars,0.0,0.0
2602,2.5,5,S6,40.7869,NaturallyAspirated,6,1.0,0.0,TwoWheelDriveFront,2,2,MidsizeCars,1.0,0.0
2603,2.5,5,M5,42.9319,NaturallyAspirated,5,0.0,0.0,TwoWheelDriveFront,2,2,MidsizeCars,1.0,0.0
2604,3.6,6,S6,37.3,NaturallyAspirated,6,0.0,0.0,TwoWheelDriveFront,2,2,MidsizeCars,1.0,0.0
2626,6.4,8,A5,31.8,NaturallyAspirated,5,1.0,0.0,TwoWheelDriveRear,1,1,LargeCars,0.0,0.0
2632,6.4,8,A5,31.8,NaturallyAspirated,5,1.0,0.0,TwoWheelDriveRear,1,1,LargeCars,0.0,0.0
2644,5.0,8,Other,34.0,NaturallyAspirated,8,1.0,0.0,TwoWheelDriveRear,2,2,LargeCars,1.0,0.0
2651,5.0,8,S6,31.0733,NaturallyAspirated,6,1.0,0.0,TwoWheelDriveRear,2,2,LargeCars,1.0,1.0
2656,3.0,6,A7,44.2415,Turbocharged,7,1.0,0.0,FourWheelDrive,2,2,LargeCars,0.0,0.0
2667,3.0,6,Other,40.9035,Supercharged,8,1.0,0.0,TwoWheelDriveRear,2,2,LargeCars,1.0,1.0
2669,4.8,8,A7,31.9791,Turbocharged,7,1.0,0.0,AllWheelDrive,2,2,LargeCars,1.0,1.0
2672,2.4,4,S5,42.0,NaturallyAspirated,5,1.0,0.0,TwoWheelDriveFront,2,2,SmallStationWagons,1.0,1.0
2698,1.6,4,A6,51.6,NaturallyAspirated,6,1.0,0.0,TwoWheelDriveFront,2,2,SmallStationWagons,1.0,0.0
2699,2.0,4,A6,49.4,NaturallyAspirated,6,1.0,0.0,TwoWheelDriveFront,2,2,SmallStationWagons,1.0,0.0
2721,1.8,4,AV,57.3284,NaturallyAspirated,1,0.0,0.0,TwoWheelDriveFront,2,2,Other,1.0,0.0
2744,2.5,4,A5,30.6,NaturallyAspirated,5,1.0,0.0,TwoWheelDriveRear,2,2,SmallPickupTrucks2WD,1.0,0.0
2745,2.5,4,M5,31.8,NaturallyAspirated,5,0.0,0.0,TwoWheelDriveRear,2,2,SmallPickupTrucks2WD,1.0,0.0
2746,4.0,6,A5,27.5,NaturallyAspirated,5,1.0,0.0,TwoWheelDriveRear,2,2,SmallPickupTrucks2WD,1.0,0.0
2767,4.0,6,A5,26.6527,NaturallyAspirated,5,1.0,0.0,FourWheelDrive,2,2,SmallPickupTrucks4WD,1.0,0.0
2841,4.8,8,A6,22.8,NaturallyAspirated,6,1.0,0.0,TwoWheelDriveRear,1,1,VansPassengerType,1.0,0.0
2842,6.0,8,A6,21.7,NaturallyAspirated,6,1.0,0.0,TwoWheelDriveRear,1,1,VansPassengerType,1.0,0.0
2843,4.8,8,A6,22.8,NaturallyAspirated,6,1.0,0.0,TwoWheelDriveRear,1,1,VansPassengerType,1.0,0.0
2844,6.0,8,A6,21.5641,NaturallyAspirated,6,1.0,0.0,TwoWheelDriveRear,1,1,VansPassengerType,1.0,0.0
2848,2.0,4,A4,37.5,NaturallyAspirated,4,1.0,0.0,TwoWheelDriveFront,2,2,Other,0.0,0.0
2849,2.0,4,A4,37.2314,NaturallyAspirated,4,1.0,0.0,TwoWheelDriveFront,2,2,Other,0.0,0.0
2872,2.4,4,A6,45.1499,NaturallyAspirated,6,1.0,0.0,TwoWheelDriveFront,2,2,SpecialPurposeVehicleSUV2WD,1.0,0.0
