,EngDispl,NumCyl,Transmission,FE,AirAspirationMethod,NumGears,TransLockup,TransCreeperGear,DriveDesc,IntakeValvePerCyl,ExhaustValvesPerCyl,CarlineClassDesc,VarValveTiming,VarValveLift
1,5.9,12,M6,22.9258,NaturallyAspirated,6,0.0,0.0,TwoWheelDriveRear,2,2,2Seaters,0.0,0.0
8,4.2,8,AM6,26.7678,NaturallyAspirated,6,0.0,0.0,AllWheelDrive,2,2,2Seaters,1.0,0.0
9,4.2,8,M6,24.301,NaturallyAspirated,6,0.0,0.0,AllWheelDrive,2,2,2Seaters,1.0,0.0
10,5.2,10,AM6,24.3325,NaturallyAspirated,6,0.0,0.0,AllWheelDrive,2,2,2Seaters,1.0,0.0
11,5.2,10,M6,23.0667,NaturallyAspirated,6,0.0,0.0,AllWheelDrive,2,2,2Seaters,1.0,0.0
18,3.0,6,S7,32.8579,Turbocharged,7,1.0,0.0,TwoWheelDriveRear,2,2,2Seaters,1.0,0.0
24,1.5,4,M6,52.2,NaturallyAspirated,6,0.0,0.0,TwoWheelDriveFront,2,2,2Seaters,1.0,1.0
25,1.5,4,Other,55.6446,NaturallyAspirated,1,1.0,0.0,TwoWheelDriveFront,2,2,2Seaters,1.0,1.0
34,6.3,8,AM7,26.0,NaturallyAspirated,7,1.0,0.0,TwoWheelDriveRear,2,2,2Seaters,1.0,0.0
35,6.0,12,A5,25.0,Turbocharged,5,1.0,0.0,TwoWheelDriveRear,2,1,2Seaters,1.0,0.0
40,6.2,8,AM7,26.8,NaturallyAspirated,7,0.0,0.0,TwoWheelDriveRear,2,2,2Seaters,1.0,0.0
47,3.6,6,M6,32.2993,Turbocharged,6,0.0,0.0,TwoWheelDriveRear,2,2,2Seaters,1.0,1.0
50,3.8,6,A7,36.7669,NaturallyAspirated,7,1.0,0.0,TwoWheelDriveRear,2,2,2Seaters,1.0,1.0
55,3.4,6,A7,41.347,NaturallyAspirated,7,1.0,0.0,TwoWheelDriveRear,2,2,2Seaters,1.0,1.0
56,3.4,6,M6,37.055,NaturallyAspirated,6,0.0,0.0,TwoWheelDriveRear,2,2,2Seaters,1.0,1.0
67,5.0,8,S6,30.8503,NaturallyAspirated,6,1.0,0.0,TwoWheelDriveRear,2,2,MinicompactCars,1.0,1.0
