,Cement,BlastFurnaceSlag,FlyAsh,Water,Superplasticizer,CoarseAggregate,FineAggregate,Age,CompressiveStrength
1,0.22309440198306135,0.0,0.0,0.0669283205949184,0.001032844453625284,0.42966329270811815,0.2792811402602768,28,79.99
2,0.22172038595770888,0.0,0.0,0.06651611578731266,0.0010264832683227264,0.4331759392321905,0.2775610757544652,28,61.89
3,0.14917003140421714,0.0639300134589502,0.0,0.10228802153432032,0.0,0.41812471960520414,0.26648721399730824,270,40.27
4,0.14917003140421714,0.0639300134589502,0.0,0.10228802153432032,0.0,0.41812471960520414,0.26648721399730824,365,41.05
5,0.08534960677295973,0.056899737848639824,0.0,0.08251321500709098,0.0,0.42047359147363444,0.354763848897675,360,44.3
6,0.12036199095022625,0.051583710407239816,0.0,0.10316742081447963,0.0,0.42171945701357466,0.3031674208144796,90,47.03
7,0.17048003589053387,0.04262000897263347,0.0,0.10228802153432032,0.0,0.41812471960520414,0.26648721399730824,365,43.7
8,0.17048003589053387,0.04262000897263347,0.0,0.10228802153432032,0.0,0.41812471960520414,0.26648721399730824,28,36.45
9,0.12036199095022625,0.051583710407239816,0.0,0.10316742081447963,0.0,0.42171945701357466,0.3031674208144796,28,45.85
10,0.21310004486316733,0.0,0.0,0.10228802153432032,0.0,0.41812471960520414,0.26648721399730824,28,39.29
11,0.08534960677295973,0.056899737848639824,0.0,0.08251321500709098,0.0,0.42047359147363444,0.354763848897675,90,38.07
12,0.08534960677295973,0.056899737848639824,0.0,0.08251321500709098,0.0,0.42047359147363444,0.354763848897675,28,28.02
13,0.1917900403768506,0.021310004486316734,0.0,0.10228802153432032,0.0,0.41812471960520414,0.26648721399730824,270,43.01
14,0.08597285067873303,0.08597285067873303,0.0,0.10316742081447963,0.0,0.42171945701357466,0.3031674208144796,90,42.33
15,0.13755656108597286,0.034389140271493215,0.0,0.10316742081447963,0.0,0.42171945701357466,0.3031674208144796,28,47.81
16,0.17194570135746606,0.0,0.0,0.10316742081447963,0.0,0.42171945701357466,0.3031674208144796,90,52.91
17,0.058290534051526156,0.08743580107728924,0.0,0.080170362019291,0.0,0.43717900538644616,0.3369242974654474,90,39.36
18,0.15475113122171946,0.017194570135746608,0.0,0.10316742081447963,0.0,0.42171945701357466,0.3031674208144796,365,56.14
19,0.17048003589053387,0.04262000897263347,0.0,0.10228802153432032,0.0,0.41812471960520414,0.26648721399730824,90,40.56
20,0.21310004486316733,0.0,0.0,0.10228802153432032,0.0,0.41812471960520414,0.26648721399730824,180,42.62
21,0.1917900403768506,0.021310004486316734,0.0,0.10228802153432032,0.0,0.41812471960520414,0.26648721399730824,180,41.84
22,0.058290534051526156,0.08743580107728924,0.0,0.080170362019291,0.0,0.43717900538644616,0.3369242974654474,28,28.24
23,0.058290534051526156,0.08743580107728924,0.0,0.080170362019291,0.0,0.43717900538644616,0.3369242974654474,3,8.06
24,0.058290534051526156,0.08743580107728924,0.0,0.080170362019291,0.0,0.43717900538644616,0.3369242974654474,180,44.21
25,0.17194570135746606,0.0,0.0,0.10316742081447963,0.0,0.42171945701357466,0.3031674208144796,365,52.52
26,0.17194570135746606,0.0,0.0,0.10316742081447963,0.0,0.42171945701357466,0.3031674208144796,270,53.3
27,0.17048003589053387,0.04262000897263347,0.0,0.10228802153432032,0.0,0.41812471960520414,0.26648721399730824,270,41.15
28,0.15475113122171946,0.017194570135746608,0.0,0.10316742081447963,0.0,0.42171945701357466,0.3031674208144796,180,52.12
29,0.1917900403768506,0.021310004486316734,0.0,0.10228802153432032,0.0,0.41812471960520414,0.26648721399730824,28,37.43
30,0.21310004486316733,0.0,0.0,0.10228802153432032,0.0,0.41812471960520414,0.26648721399730824,7,38.6
31,0.13755656108597286,0.034389140271493215,0.0,0.10316742081447963,0.0,0.42171945701357466,0.3031674208144796,365,55.26
32,0.12036199095022625,0.051583710407239816,0.0,0.10316742081447963,0.0,0.42171945701357466,0.3031674208144796,365,52.91
